Estación,Código,X=N,Y=E,Municipio,Cuenca,Corriente,Año,Enero,Febrero,Marzo ,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Zusne,2306715,1080111,949777,Caparrapi,R. Negro,Q. Zusne,1999,26,46,35,48,85,43,28,0,45,65,65,49
Zusne,2306715,1080111,949777,Caparrapi,R. Negro,Q. Zusne,2000,28,20,33,32,78,100,28,13,21,26,35,14
Zusne,2306715,1080111,949777,Caparrapi,R. Negro,Q. Zusne,2001,14,9,17,0,0,0,0,0,0,0,0,0
Zusne,2306715,1080111,949777,Caparrapi,R. Negro,Q. Zusne,2002,15,42,30,50,30,40,20,32,0,0,0,0
Zusne,2306715,1080111,949777,Caparrapi,R. Negro,Q. Zusne,2004,90,80,60,64,82,20,56,20,34,90,90,60
Zusne,2306715,1080111,949777,Caparrapi,R. Negro,Q. Zusne,2005,90,20,60,70,70,18,11,16,60,62,60,40
Zusne,2306715,1080111,949777,Caparrapi,R. Negro,Q. Zusne,2007,70,16,50,50,30,18,18,0,20,34,14,14
Zusne,2306715,1080111,949777,Caparrapi,R. Negro,Q. Zusne,2008,22,28,24,40,48,18,13,14,28,36,36,38
Zusne,2306715,1080111,949777,Caparrapi,R. Negro,Q. Zusne,2009,32,32,38,38,38,18,24,32,72,72,76,68
Zusne,2306715,1080111,949777,Caparrapi,R. Negro,Q. Zusne,2010,56,48,68,70,68,72,58,44,78,78,78,68
Zusne,2306715,1080111,949777,Caparrapi,R. Negro,Q. Zusne,2011,48,30,38,44,28,28,0,0,0,0,0,74
Zusne,2306715,1080111,949777,Caparrapi,R. Negro,Q. Zusne,2012,88,82,0,74,78,72,68,88,0,0,76,70
Zusne,2306715,1080111,949777,Caparrapi,R. Negro,Q. Zusne,2013,62,68,68,62,68,72,68,68,0,0,0,0
El Volador,2120918,1062793,1008530,Cogua,Emb. Neusa,R. Cubillos,1996,0,0,0,0,0,0,306,320,288,368,256,249
El Volador,2120918,1062793,1008530,Cogua,Emb. Neusa,R. Cubillos,1997,291,228,232,310,250,238,308,239,242,244,227,220
El Volador,2120918,1062793,1008530,Cogua,Emb. Neusa,R. Cubillos,1998,214,216,239,320,372,254,276,282,240,364,300,268
El Volador,2120918,1062793,1008530,Cogua,Emb. Neusa,R. Cubillos,1999,278,284,288,330,240,250,225,274,358,360,320,376
El Volador,2120918,1062793,1008530,Cogua,Emb. Neusa,R. Cubillos,2000,227,241,300,242,230,324,288,250,346,292,360,234
El Volador,2120918,1062793,1008530,Cogua,Emb. Neusa,R. Cubillos,2001,221,255,320,248,234,228,224,250,310,238,290,242
El Volador,2120918,1062793,1008530,Cogua,Emb. Neusa,R. Cubillos,2002,350,235,280,350,316,341,260,286,244,328,308,250
El Volador,2120918,1062793,1008530,Cogua,Emb. Neusa,R. Cubillos,2003,0,0,225,308,244,229,244,240,234,276,324,330
El Volador,2120918,1062793,1008530,Cogua,Emb. Neusa,R. Cubillos,2004,250,214,217,238,293,261,226,236,254,300,350,295
El Volador,2120918,1062793,1008530,Cogua,Emb. Neusa,R. Cubillos,2005,286,233,216,242,278,230,226,231,241,326,292,256
El Volador,2120918,1062793,1008530,Cogua,Emb. Neusa,R. Cubillos,2006,238,220,283,370,342,302,240,229,221,274,320,251
El Volador,2120918,1062793,1008530,Cogua,Emb. Neusa,R. Cubillos,2007,226,212,227,276,222,258,240,246,234,576,269,293
El Volador,2120918,1062793,1008530,Cogua,Emb. Neusa,R. Cubillos,2008,248,242,227,286,300,265,286,257,294,280,312,264
El Volador,2120918,1062793,1008530,Cogua,Emb. Neusa,R. Cubillos,2009,230,247,320,335,236,232,242,300,230,276,217,217
El Volador,2120918,1062793,1008530,Cogua,Emb. Neusa,R. Cubillos,2010,212,216,212,300,308,262,318,271,266,294,312,334
El Volador,2120918,1062793,1008530,Cogua,Emb. Neusa,R. Cubillos,2011,237,260,400,404,386,306,264,261,270,320,390,300
El Volador,2120918,1062793,1008530,Cogua,Emb. Neusa,R. Cubillos,2012,250,222,207,200,56,56,66,69,44,98,106,52
El Volador,2120918,1062793,1008530,Cogua,Emb. Neusa,R. Cubillos,2013,30,39,51,96,88,40,40,45,42,0,0,0
Viotá,2120896,982700,951000,Viotá,R. Calandaima,R. Lindo,1991,154,110,200,200,125,120,70,92,135,190,155,132
Viotá,2120896,982700,951000,Viotá,R. Calandaima,R. Lindo,1992,100,100,100,100,95,75,54,62,51,50,165,153
Viotá,2120896,982700,951000,Viotá,R. Calandaima,R. Lindo,1993,175,160,131,170,145,836,82,64,101,160,162,167
Viotá,2120896,982700,951000,Viotá,R. Calandaima,R. Lindo,1994,145,140,140,148,110,103,74,70,79,130,148,100
Viotá,2120896,982700,951000,Viotá,R. Calandaima,R. Lindo,1995,95,120,150,200,130,131,92,140,140,240,141,110
Viotá,2120896,982700,951000,Viotá,R. Calandaima,R. Lindo,1996,155,104,0,0,994,100,201,89,110,210,120,120
Viotá,2120896,982700,951000,Viotá,R. Calandaima,R. Lindo,1997,250,115,405,380,190,105,89,59,0,105,0,0
Viotá,2120896,982700,951000,Viotá,R. Calandaima,R. Lindo,1998,80,100,150,160,202,97,91,70,85,80,100,100
Viotá,2120896,982700,951000,Viotá,R. Calandaima,R. Lindo,1999,93,115,150,150,108,100,73,75,100,110,150,110
Viotá,2120896,982700,951000,Viotá,R. Calandaima,R. Lindo,2000,120,152,182,182,100,85,85,70,70,85,110,95
Viotá,2120896,982700,951000,Viotá,R. Calandaima,R. Lindo,2001,70,75,75,55,88,90,64,40,65,140,130,130
Viotá,2120896,982700,951000,Viotá,R. Calandaima,R. Lindo,2002,95,100,150,130,98,100,564,54,90,180,150,100
Viotá,2120896,982700,951000,Viotá,R. Calandaima,R. Lindo,2003,80,0,0,0,0,0,0,0,0,0,0,0
Viotá,2120896,982700,951000,Viotá,R. Calandaima,R. Lindo,2004,0,0,150,150,160,92,0,0,0,0,0,0
Viotá,2120896,982700,951000,Viotá,R. Calandaima,R. Lindo,2007,92,0,48,180,150,80,50,145,56,200,200,150
Viotá,2120896,982700,951000,Viotá,R. Calandaima,R. Lindo,2008,170,200,160,160,200,110,80,180,90,200,160,110
Viotá,2120896,982700,951000,Viotá,R. Calandaima,R. Lindo,2009,105,80,200,200,170,110,70,50,180,84,180,100
Viotá,2120896,982700,951000,Viotá,R. Calandaima,R. Lindo,2010,0,0,0,170,110,80,95,80,100,110,115,130
Viotá,2120896,982700,951000,Viotá,R. Calandaima,R. Lindo,2011,980,190,199,150,198,130,88,95,0,0,0,180
Viotá,2120896,982700,951000,Viotá,R. Calandaima,R. Lindo,2012,185,185,135,200,145,45,0,0,0,285,195,132
Viotá,2120896,982700,951000,Viotá,R. Calandaima,R. Lindo,2013,130,195,150,163,130,130,70,60,0,0,0,0
Villapinzón,2120815,1068510,1053100,Villapinzón,R. Bogotá,R. Bogotá,1991,55,47,72,68,82,119,115,150,89,82,105,61
Villapinzón,2120815,1068510,1053100,Villapinzón,R. Bogotá,R. Bogotá,1993,47,62,46,90,140,122,106,125,70,78,113,113
Villapinzón,2120815,1068510,1053100,Villapinzón,R. Bogotá,R. Bogotá,1994,57,57,62,72,108,131,182,100,184,168,90,58
Villapinzón,2120815,1068510,1053100,Villapinzón,R. Bogotá,R. Bogotá,1995,42,40,51,71,52,85,71,68,48,45,48,57
Villapinzón,2120815,1068510,1053100,Villapinzón,R. Bogotá,R. Bogotá,1996,58,71,102,61,0,0,0,0,0,0,0,0
Villapinzón,2120815,1068510,1053100,Villapinzón,R. Bogotá,R. Bogotá,1997,74,50,47,55,68,72,244,91,72,69,65,49
Villapinzón,2120815,1068510,1053100,Villapinzón,R. Bogotá,R. Bogotá,1998,44,50,58,58,190,130,165,114,57,95,52,88
Villapinzón,2120815,1068510,1053100,Villapinzón,R. Bogotá,R. Bogotá,1999,42,52,50,78,102,78,74,102,142,140,112,65
Villapinzón,2120815,1068510,1053100,Villapinzón,R. Bogotá,R. Bogotá,2000,42,40,92,50,112,142,105,145,104,81,140,52
Villapinzón,2120815,1068510,1053100,Villapinzón,R. Bogotá,R. Bogotá,2001,44,36,44,38,70,125,124,125,115,72,72,64
Villapinzón,2120815,1068510,1053100,Villapinzón,R. Bogotá,R. Bogotá,2002,40,38,42,104,205,160,124,152,80,72,72,42
Villapinzón,2120815,1068510,1053100,Villapinzón,R. Bogotá,R. Bogotá,2003,40,35,52,58,134,89,112,85,75,182,120,112
Villapinzón,2120815,1068510,1053100,Villapinzón,R. Bogotá,R. Bogotá,2004,54,38,42,92,202,170,115,135,92,118,89,78
Villapinzón,2120815,1068510,1053100,Villapinzón,R. Bogotá,R. Bogotá,2005,54,51,52,95,130,70,98,95,165,110,170,65
Villapinzón,2120815,1068510,1053100,Villapinzón,R. Bogotá,R. Bogotá,2006,65,56,66,140,150,168,150,125,70,90,180,68
Villapinzón,2120815,1068510,1053100,Villapinzón,R. Bogotá,R. Bogotá,2007,50,50,56,92,85,180,120,118,80,120,115,70
Villapinzón,2120815,1068510,1053100,Villapinzón,R. Bogotá,R. Bogotá,2008,60,46,11,65,64,92,77,70,52,58,160,105
Villapinzón,2120815,1068510,1053100,Villapinzón,R. Bogotá,R. Bogotá,2009,48,32,28,34,48,55,95,80,48,148,38,10
Villapinzón,2120815,1068510,1053100,Villapinzón,R. Bogotá,R. Bogotá,2010,9,8,8,55,120,68,115,38,45,62,138,68
Villapinzón,2120815,1068510,1053100,Villapinzón,R. Bogotá,R. Bogotá,2011,20,40,80,210,500,80,85,110,120,140,188,150
Villapinzón,2120815,1068510,1053100,Villapinzón,R. Bogotá,R. Bogotá,2012,60,62,64,98,64,90,118,105,59,125,155,50
Villapinzón,2120815,1068510,1053100,Villapinzón,R. Bogotá,R. Bogotá,2013,34,42,78,50,105,55,80,60,0,0,0,0
Villablanca,2120963,986900,979010,Sibaté,Emb. Muña,R. Muña,1998,35,35,32,38,50,49,49,47,42,62,62,69
Villablanca,2120963,986900,979010,Sibaté,Emb. Muña,R. Muña,1999,58,59,62,86,63,56,54,85,84,110,100,81
Villablanca,2120963,986900,979010,Sibaté,Emb. Muña,R. Muña,2000,86,105,105,75,81,71,61,46,454,49,73,76
Villablanca,2120963,986900,979010,Sibaté,Emb. Muña,R. Muña,2001,52,56,66,44,58,46,38,34,41,55,53,80
Villablanca,2120963,986900,979010,Sibaté,Emb. Muña,R. Muña,2002,56,56,46,99,66,110,45,45,46,44,52,54
Villablanca,2120963,986900,979010,Sibaté,Emb. Muña,R. Muña,2003,0,0,0,0,0,0,54,53,59,105,90,80
Villablanca,2120963,986900,979010,Sibaté,Emb. Muña,R. Muña,2004,0,0,0,107,100,89,68,61,69,94,110,81
Villablanca,2120963,986900,979010,Sibaté,Emb. Muña,R. Muña,2005,110,94,56,65,98,73,79,85,87,0,0,0
Villablanca,2120963,986900,979010,Sibaté,Emb. Muña,R. Muña,2007,76,85,85,95,99,100,99,95,98,99,199,115
Villablanca,2120963,986900,979010,Sibaté,Emb. Muña,R. Muña,2008,15,100,114,129,158,145,145,137,118,140,140,140
Villablanca,2120963,986900,979010,Sibaté,Emb. Muña,R. Muña,2009,120,117,115,0,119,120,118,108,106,106,131,83
Villablanca,2120963,986900,979010,Sibaté,Emb. Muña,R. Muña,2010,81,83,83,155,140,154,0,158,145,146,192,163
Villablanca,2120963,986900,979010,Sibaté,Emb. Muña,R. Muña,2011,139,131,200,200,195,155,130,125,120,180,200,170
Villablanca,2120963,986900,979010,Sibaté,Emb. Muña,R. Muña,2012,140,110,119,200,150,130,90,90,90,92,119,110
Villablanca,2120963,986900,979010,Sibaté,Emb. Muña,R. Muña,2013,83,100,87,128,125,115,89,90,0,0,0,0
La Victoria,2120928,993380,963230,El Colegio,R. Calandaima,Q. Campos,1995,15,25,40,50,50,85,20,45,35,70,60,60
La Victoria,2120928,993380,963230,El Colegio,R. Calandaima,Q. Campos,1997,35,20,60,85,20,40,14,10,20,70,40,26
La Victoria,2120928,993380,963230,El Colegio,R. Calandaima,Q. Campos,1998,25,24,25,34,40,75,32,40,40,60,70,46
La Victoria,2120928,993380,963230,El Colegio,R. Calandaima,Q. Campos,1999,50,120,80,90,36,32,30,20,40,64,120,45
La Victoria,2120928,993380,963230,El Colegio,R. Calandaima,Q. Campos,2000,50,40,70,46,60,70,54,52,16,56,84,30
La Victoria,2120928,993380,963230,El Colegio,R. Calandaima,Q. Campos,2001,40,54,70,50,50,16,24,10,18,36,90,56
La Victoria,2120928,993380,963230,El Colegio,R. Calandaima,Q. Campos,2002,60,18,42,90,20,14,17,10,16,16,19,17
La Victoria,2120928,993380,963230,El Colegio,R. Calandaima,Q. Campos,2003,0,0,0,0,0,0,10,17,80,30,34,21
La Victoria,2120928,993380,963230,El Colegio,R. Calandaima,Q. Campos,2004,16,13,18,24,130,50,20,20,10,18,19,14
La Victoria,2120928,993380,963230,El Colegio,R. Calandaima,Q. Campos,2005,12,12,11,11,16,17,13,11,11,11,11,11
La Victoria,2120928,993380,963230,El Colegio,R. Calandaima,Q. Campos,2006,18,18,18,16,18,14,0,0,0,0,0,0
La Victoria,2120928,993380,963230,El Colegio,R. Calandaima,Q. Campos,2007,11,11,11,11,16,11,11,16,20,198,40,75
La Victoria,2120928,993380,963230,El Colegio,R. Calandaima,Q. Campos,2008,21,40,90,80,34,30,33,78,34,40,53,30
La Victoria,2120928,993380,963230,El Colegio,R. Calandaima,Q. Campos,2009,30,40,45,55,20,40,20,40,50,50,40,21
La Victoria,2120928,993380,963230,El Colegio,R. Calandaima,Q. Campos,2010,20,10,20,50,50,30,45,30,40,50,53,30
La Victoria,2120928,993380,963230,El Colegio,R. Calandaima,Q. Campos,2011,20,45,40,55,51,21,21,31,30,81,60,31
La Victoria,2120928,993380,963230,El Colegio,R. Calandaima,Q. Campos,2012,30,20,20,40,30,15,17,11,12,61,30,35
La Victoria,2120928,993380,963230,El Colegio,R. Calandaima,Q. Campos,2013,30,30,31,61,51,30,0,0,0,0,0,0
El Vergel,2120878,1029500,1013700,Sopó,R. Teusacá,R. Teusacá,1991,112,74,151,197,137,230,232,304,991,110,240,193
El Vergel,2120878,1029500,1013700,Sopó,R. Teusacá,R. Teusacá,1992,89,149,78,0,0,0,218,266,165,82,245,292
El Vergel,2120878,1029500,1013700,Sopó,R. Teusacá,R. Teusacá,1993,128,0,0,148,203,232,243,253,169,83,236,123
El Vergel,2120878,1029500,1013700,Sopó,R. Teusacá,R. Teusacá,1994,117,123,83,75,119,101,0,224,223,134,183,180
El Vergel,2120878,1029500,1013700,Sopó,R. Teusacá,R. Teusacá,1995,71,47,122,118,110,203,136,193,120,109,123,90
El Vergel,2120878,1029500,1013700,Sopó,R. Teusacá,R. Teusacá,1996,40,71,103,72,208,101,251,101,71,122,74,76
El Vergel,2120878,1029500,1013700,Sopó,R. Teusacá,R. Teusacá,1997,170,75,39,47,119,51,174,118,48,42,80,50
El Vergel,2120878,1029500,1013700,Sopó,R. Teusacá,R. Teusacá,1998,32,59,109,111,315,238,358,209,58,100,79,217
El Vergel,2120878,1029500,1013700,Sopó,R. Teusacá,R. Teusacá,1999,85,88,142,123,123,213,185,204,215,300,290,250
El Vergel,2120878,1029500,1013700,Sopó,R. Teusacá,R. Teusacá,2000,159,211,148,173,225,229,240,250,292,290,250,137
El Vergel,2120878,1029500,1013700,Sopó,R. Teusacá,R. Teusacá,2001,131,56,71,232,87,155,225,250,271,119,228,186
El Vergel,2120878,1029500,1013700,Sopó,R. Teusacá,R. Teusacá,2002,80,101,131,0,0,0,0,0,0,0,0,0
El Vergel,2120878,1029500,1013700,Sopó,R. Teusacá,R. Teusacá,2003,0,0,0,0,0,0,0,0,150,145,206,172
El Vergel,2120878,1029500,1013700,Sopó,R. Teusacá,R. Teusacá,2004,118,198,172,0,0,0,190,0,0,0,218,0
El Vergel,2120878,1029500,1013700,Sopó,R. Teusacá,R. Teusacá,2005,0,0,0,0,0,114,136,206,262,131,416,0
El Vergel,2120878,1029500,1013700,Sopó,R. Teusacá,R. Teusacá,2007,0,0,0,0,0,0,0,175,120,360,258,200
El Vergel,2120878,1029500,1013700,Sopó,R. Teusacá,R. Teusacá,2008,100,75,125,103,420,0,0,0,0,0,0,0
El Vergel,2120878,1029500,1013700,Sopó,R. Teusacá,R. Teusacá,2009,0,0,0,0,0,0,0,100,155,148,150,85
El Vergel,2120878,1029500,1013700,Sopó,R. Teusacá,R. Teusacá,2010,70,60,70,124,250,273,333,280,160,220,280,230
El Vergel,2120878,1029500,1013700,Sopó,R. Teusacá,R. Teusacá,2011,157,341,254,550,400,370,270,300,224,480,500,380
El Vergel,2120878,1029500,1013700,Sopó,R. Teusacá,R. Teusacá,2012,291,240,240,480,370,360,308,335,0,480,267,250
El Vergel,2120878,1029500,1013700,Sopó,R. Teusacá,R. Teusacá,2013,230,130,125,125,320,240,280,270,0,0,0,0
La Vega,2120751,1031010,1024110,Guasca,R. Aves,R. Aves,1991,100,80,150,94,82,124,200,170,104,118,112,83
La Vega,2120751,1031010,1024110,Guasca,R. Aves,R. Aves,1992,66,65,100,104,78,112,200,143,130,85,142,100
La Vega,2120751,1031010,1024110,Guasca,R. Aves,R. Aves,1993,74,67,73,113,128,246,230,130,127,147,201,120
La Vega,2120751,1031010,1024110,Guasca,R. Aves,R. Aves,1994,66,78,75,70,156,185,346,185,114,250,87,87
La Vega,2120751,1031010,1024110,Guasca,R. Aves,R. Aves,1995,68,62,70,63,115,87,84,182,86,104,75,75
La Vega,2120751,1031010,1024110,Guasca,R. Aves,R. Aves,1996,73,132,210,110,0,0,0,0,0,0,0,0
La Vega,2120751,1031010,1024110,Guasca,R. Aves,R. Aves,1997,260,110,72,92,208,160,392,135,87,70,72,72
La Vega,2120751,1031010,1024110,Guasca,R. Aves,R. Aves,1998,68,68,170,89,239,225,228,140,77,76,83,175
La Vega,2120751,1031010,1024110,Guasca,R. Aves,R. Aves,1999,74,102,127,165,105,178,100,130,170,310,320,345
La Vega,2120751,1031010,1024110,Guasca,R. Aves,R. Aves,2000,120,88,240,94,206,200,240,230,234,105,211,95
La Vega,2120751,1031010,1024110,Guasca,R. Aves,R. Aves,2001,88,75,86,102,210,233,237,215,159,162,240,244
La Vega,2120751,1031010,1024110,Guasca,R. Aves,R. Aves,2002,85,70,105,141,276,347,340,347,124,301,114,98
La Vega,2120751,1031010,1024110,Guasca,R. Aves,R. Aves,2003,0,0,0,112,188,92,166,126,92,106,108,92
La Vega,2120751,1031010,1024110,Guasca,R. Aves,R. Aves,2004,114,240,120,106,246,300,210,240,138,114,130,98
La Vega,2120751,1031010,1024110,Guasca,R. Aves,R. Aves,2005,69,76,70,112,181,128,125,123,140,125,137,82
La Vega,2120751,1031010,1024110,Guasca,R. Aves,R. Aves,2006,156,72,95,194,250,190,162,112,96,202,82,90
La Vega,2120751,1031010,1024110,Guasca,R. Aves,R. Aves,2007,78,80,72,88,100,224,172,118,90,198,90,130
La Vega,2120751,1031010,1024110,Guasca,R. Aves,R. Aves,2008,90,77,92,100,192,188,248,179,117,100,234,116
La Vega,2120751,1031010,1024110,Guasca,R. Aves,R. Aves,2009,100,104,100,158,200,184,294,200,170,170,134,98
La Vega,2120751,1031010,1024110,Guasca,R. Aves,R. Aves,2010,87,87,92,196,162,182,266,130,123,176,250,177
La Vega,2120751,1031010,1024110,Guasca,R. Aves,R. Aves,2011,125,117,289,368,390,252,223,148,180,350,350,260
La Vega,2120751,1031010,1024110,Guasca,R. Aves,R. Aves,2012,98,168,112,381,212,194,310,300,153,250,100,94
La Vega,2120751,1031010,1024110,Guasca,R. Aves,R. Aves,2013,80,80,92,175,297,186,120,158,120,0,0,0
El Triunfo,2120929,992850,955440,Anapoima,R. Calandaima,Q. Campos,1995,140,150,190,178,173,170,170,166,140,0,0,0
El Triunfo,2120929,992850,955440,Anapoima,R. Calandaima,Q. Campos,1998,0,0,0,0,0,0,0,0,0,0,0,23
El Triunfo,2120929,992850,955440,Anapoima,R. Calandaima,Q. Campos,1999,30,33,55,62,40,25,23,10,30,35,40,43
El Triunfo,2120929,992850,955440,Anapoima,R. Calandaima,Q. Campos,2000,45,0,0,0,0,0,0,0,24,33,60,30
El Triunfo,2120929,992850,955440,Anapoima,R. Calandaima,Q. Campos,2001,23,25,50,27,71,30,20,13,20,70,75,70
El Triunfo,2120929,992850,955440,Anapoima,R. Calandaima,Q. Campos,2002,40,20,50,70,70,38,50,40,40,50,40,68
El Triunfo,2120929,992850,955440,Anapoima,R. Calandaima,Q. Campos,2003,0,0,0,0,0,0,28,30,40,50,40,50
El Triunfo,2120929,992850,955440,Anapoima,R. Calandaima,Q. Campos,2006,40,50,90,60,0,70,30,30,30,46,60,46
El Triunfo,2120929,992850,955440,Anapoima,R. Calandaima,Q. Campos,2007,40,28,44,42,50,48,36,42,42,75,60,60
El Triunfo,2120929,992850,955440,Anapoima,R. Calandaima,Q. Campos,2008,58,52,50,60,60,60,42,98,48,60,70,0
El Triunfo,2120929,992850,955440,Anapoima,R. Calandaima,Q. Campos,2009,50,60,62,80,54,68,36,40,40,44,60,45
El Triunfo,2120929,992850,955440,Anapoima,R. Calandaima,Q. Campos,2010,36,30,31,58,70,49,60,50,51,60,110,68
El Triunfo,2120929,992850,955440,Anapoima,R. Calandaima,Q. Campos,2011,44,72,64,76,67,99,46,40,35,70,72,60
El Triunfo,2120929,992850,955440,Anapoima,R. Calandaima,Q. Campos,2012,54,47,46,68,46,31,32,32,26,64,44,50
El Triunfo,2120929,992850,955440,Anapoima,R. Calandaima,Q. Campos,2013,90,345,60,345,56,42,28,29,0,0,0,0
La Tribuna,2120912,1029300,963200,Facatativá,R. Bojacá,R. Andes,1993,0,158,96,57,49,40,27,27,27,29,113,113
La Tribuna,2120912,1029300,963200,Facatativá,R. Bojacá,R. Andes,1994,85,99,135,83,64,34,35,29,27,126,122,82
La Tribuna,2120912,1029300,963200,Facatativá,R. Bojacá,R. Andes,1995,34,176,240,172,210,50,133,90,100,56,98,83
La Tribuna,2120912,1029300,963200,Facatativá,R. Bojacá,R. Andes,1996,250,56,134,146,61,80,67,69,46,88,180,198
La Tribuna,2120912,1029300,963200,Facatativá,R. Bojacá,R. Andes,1997,244,90,88,58,88,45,32,28,27,37,93,97
La Tribuna,2120912,1029300,963200,Facatativá,R. Bojacá,R. Andes,1998,32,90,49,48,92,62,30,32,42,74,124,140
La Tribuna,2120912,1029300,963200,Facatativá,R. Bojacá,R. Andes,1999,110,138,130,272,154,41,38,27,156,143,96,105
La Tribuna,2120912,1029300,963200,Facatativá,R. Bojacá,R. Andes,2000,126,200,208,104,36,36,29,28,76,54,125,45
La Tribuna,2120912,1029300,963200,Facatativá,R. Bojacá,R. Andes,2001,144,79,81,35,32,100,36,27,27,110,190,132
La Tribuna,2120912,1029300,963200,Facatativá,R. Bojacá,R. Andes,2002,34,38,120,216,66,70,44,30,30,54,200,90
La Tribuna,2120912,1029300,963200,Facatativá,R. Bojacá,R. Andes,2003,34,56,86,66,62,0,55,58,62,106,120,140
La Tribuna,2120912,1029300,963200,Facatativá,R. Bojacá,R. Andes,2004,90,88,85,200,90,74,56,40,50,200,200,50
La Tribuna,2120912,1029300,963200,Facatativá,R. Bojacá,R. Andes,2005,40,100,86,60,200,56,20,30,30,200,110,58
La Tribuna,2120912,1029300,963200,Facatativá,R. Bojacá,R. Andes,2006,110,40,180,300,110,74,48,28,80,110,160,0
La Tribuna,2120912,1029300,963200,Facatativá,R. Bojacá,R. Andes,2007,0,0,58,87,65,38,32,36,33,98,84,97
La Tribuna,2120912,1029300,963200,Facatativá,R. Bojacá,R. Andes,2008,72,84,250,100,90,52,98,80,45,90,120,105
La Tribuna,2120912,1029300,963200,Facatativá,R. Bojacá,R. Andes,2009,90,46,110,84,100,39,32,32,29,75,125,56
La Tribuna,2120912,1029300,963200,Facatativá,R. Bojacá,R. Andes,2010,33,29,14,64,44,48,53,17,14,90,110,110
La Tribuna,2120912,1029300,963200,Facatativá,R. Bojacá,R. Andes,2011,72,68,100,150,150,25,30,17,16,94,97,98
La Tribuna,2120912,1029300,963200,Facatativá,R. Bojacá,R. Andes,2012,100,0,42,150,56,20,14,14,14,65,71,58
La Tribuna,2120912,1029300,963200,Facatativá,R. Bojacá,R. Andes,2013,82,105,100,54,96,18,16,17,0,0,0,0
Torres,2120974,998715,965730,El Colegio,R. Bogotá,Q. Antioqueñita,1999,0,0,0,32,54,34,33,55,36,49,58,41
Torres,2120974,998715,965730,El Colegio,R. Bogotá,Q. Antioqueñita,2000,38,40,49,41,32,31,40,44,40,41,42,37
Torres,2120974,998715,965730,El Colegio,R. Bogotá,Q. Antioqueñita,2001,39,38,49,49,48,35,31,39,46,63,67,58
Torres,2120974,998715,965730,El Colegio,R. Bogotá,Q. Antioqueñita,2002,41,52,39,95,92,46,23,22,18,27,23,21
Torres,2120974,998715,965730,El Colegio,R. Bogotá,Q. Antioqueñita,2003,32,29,35,51,36,22,0,0,0,0,0,0
Torres,2120974,998715,965730,El Colegio,R. Bogotá,Q. Antioqueñita,2007,45,37,65,55,65,49,28,45,65,78,60,55
Torres,2120974,998715,965730,El Colegio,R. Bogotá,Q. Antioqueñita,2008,55,90,90,80,60,45,60,95,49,70,90,55
Torres,2120974,998715,965730,El Colegio,R. Bogotá,Q. Antioqueñita,2009,55,60,75,70,55,40,32,25,30,40,55,35
Torres,2120974,998715,965730,El Colegio,R. Bogotá,Q. Antioqueñita,2010,35,30,29,65,60,65,60,40,50,55,60,60
Torres,2120974,998715,965730,El Colegio,R. Bogotá,Q. Antioqueñita,2011,63,45,55,60,55,60,20,55,55,55,65,60
Torres,2120974,998715,965730,El Colegio,R. Bogotá,Q. Antioqueñita,2012,50,45,40,60,40,27,22,34,26,60,45,45
Torres,2120974,998715,965730,El Colegio,R. Bogotá,Q. Antioqueñita,2013,45,65,65,35,55,36,35,30,80,0,0,0
Torca,2401802,1107160,1132748,Aquitania,MM,R. San José,2009,35,32,49,48,48,40,20,20,21,28,72,20
Torca,2401802,1107160,1132748,Aquitania,MM,R. San José,2010,16,20,17,42,72,36,78,55,41,69,90,95
Torca,2401802,1107160,1132748,Aquitania,MM,R. San José,2011,39,42,100,96,96,51,34,38,21,100,100,70
Torca,2401802,1107160,1132748,Aquitania,MM,R. San José,2012,31,30,31,100,64,22,23,20,19,22,22,21
Torca,2401802,1107160,1132748,Aquitania,MM,R. San José,2013,18,20,25,45,49,48,0,0,0,0,0,0
Tolón Arriba,2401789,1113680,1031610,Chiquinquirá,R. Suárez,R. Suárez,1999,39,39,39,39,39,39,39,39,39,39,39,39
Tolón Arriba,2401789,1113680,1031610,Chiquinquirá,R. Suárez,R. Suárez,2008,327,322,320,308,0,334,328,396,324,308,356,374
Tolón Arriba,2401789,1113680,1031610,Chiquinquirá,R. Suárez,R. Suárez,2009,330,329,0,330,318,321,320,315,315,318,332,328
Tolón Arriba,2401789,1113680,1031610,Chiquinquirá,R. Suárez,R. Suárez,2010,314,284,283,297,350,359,376,320,290,287,324,373
Tolón Arriba,2401789,1113680,1031610,Chiquinquirá,R. Suárez,R. Suárez,2011,293,296,378,438,465,420,339,290,265,335,412,438
Tolón Arriba,2401789,1113680,1031610,Chiquinquirá,R. Suárez,R. Suárez,2012,348,280,288,404,375,330,313,322,310,314,318,325
Tolón Arriba,2401789,1113680,1031610,Chiquinquirá,R. Suárez,R. Suárez,2013,322,311,304,273,396,315,310,296,0,0,0,0
Tocancipá,2120792,1041500,1018200,Tocancipá,R. Bogotá,R. Bogotá,1991,291,294,265,238,278,257,241,342,247,282,280,302
Tocancipá,2120792,1041500,1018200,Tocancipá,R. Bogotá,R. Bogotá,2008,292,310,306,326,336,320,334,318,80,310,385,363
